column,source,description,median,mean,standardDeviation,range
USDEUR=X_Close,normalisedBasedValue2y,Exchange rate of USD to EUR,98.17040816151851,98.31629183418492,1.5380244674837573,8.29699052025579
GBPEUR=X_Close,normalisedBasedValue2y,Exchange rate of GBP to EUR,103.00080369362088,102.92934050862843,1.8778046255472953,8.953822999537906
BTC-EUR_Close,normalisedBasedValue2y,Exchange rate of BTC to EUR,250.36374713919668,279.5634050235319,129.77512013682235,562.211950181318
USDEUR=X_Close,normalisedBasedValue5y,Exchange rate of USD to EUR,102.17607907988085,101.13195131252559,5.28487945336714,25.918352561136146
GBPEUR=X_Close,normalisedBasedValue5y,Exchange rate of GBP to EUR,99.41571502355143,98.94897182941112,2.4256386961423297,13.20537202470662
BTC-EUR_Close,normalisedBasedValue5y,Exchange rate of BTC to EUR,430.7362323770774,501.5076564359919,294.95133660836086,1485.1582306652108
USDEUR=X_Close,normalisedBasedValue5d,Exchange rate of USD to EUR,100.01040135136938,99.96466780322828,0.11790980359545036,0.5619148658383892
GBPEUR=X_Close,normalisedBasedValue5d,Exchange rate of GBP to EUR,100.07099892076096,100.02855341254015,0.14064892071731763,0.6278038980506011
BTC-EUR_Close,normalisedBasedValue5d,Exchange rate of BTC to EUR,101.36603396865982,101.70984156167384,1.8090620591054656,6.7677220853153415
USDEUR=X_Close,normalisedMinMax2y,Exchange rate of USD to EUR,0.44743596895362536,0.46501869034040616,0.1853713661271413,1.0
GBPEUR=X_Close,normalisedMinMax2y,Exchange rate of GBP to EUR,0.5080897927597032,0.5001084885730868,0.20972099020096857,1.0
BTC-EUR_Close,normalisedMinMax2y,Exchange rate of BTC to EUR,0.2702748936804342,0.32221199298065034,0.23082952985074112,1.0
USDEUR=X_Close,normalisedMinMax5y,Exchange rate of USD to EUR,0.44624216689502516,0.40595689934600326,0.20390491412990777,1.0
GBPEUR=X_Close,normalisedMinMax5y,Exchange rate of GBP to EUR,0.669448139451494,0.6341031909512137,0.1836857524047092,1.0
BTC-EUR_Close,normalisedMinMax5y,Exchange rate of BTC to EUR,0.2440656260518253,0.29171807317674586,0.19859926741694733,0.9999999999999999
USDEUR=X_Close,normalisedMinMax5d,Exchange rate of USD to EUR,0.703698797973459,0.6223100486780456,0.20983570779806204,1.0
GBPEUR=X_Close,normalisedMinMax5d,Exchange rate of GBP to EUR,0.5813491437762082,0.5137396428594201,0.2240332071113988,1.0
BTC-EUR_Close,normalisedMinMax5d,Exchange rate of BTC to EUR,0.3861006752297307,0.43690175551640936,0.2673073799869519,1.0
USDEUR=X_Close,normalisedZscore2y,Exchange rate of USD to EUR,-0.09485517667695367,-1.3631736192821172e-15,1.0000405112520176,5.394794957523883
GBPEUR=X_Close,normalisedZscore2y,Exchange rate of GBP to EUR,0.038058315057512095,1.9894966335468735e-15,1.0000405112520145,4.768433099108071
BTC-EUR_Close,normalisedZscore2y,Exchange rate of BTC to EUR,-0.2250110866262201,-1.4737012100347214e-16,1.0000405112520183,4.332376849264737
USDEUR=X_Close,normalisedZscore5y,Exchange rate of USD to EUR,0.19764463041874447,3.4846540297813344e-16,1.000383362099572,4.906126791344659
GBPEUR=X_Close,normalisedZscore5y,Exchange rate of GBP to EUR,0.1924945073368741,2.831281399197334e-15,1.0003833620995735,5.446167429989119
BTC-EUR_Close,normalisedZscore5y,Exchange rate of BTC to EUR,-0.24003469845142075,8.711635074453336e-17,1.0003833620995728,5.037195630733754
USDEUR=X_Close,normalisedZscore5d,Exchange rate of USD to EUR,0.38807236523983657,-1.626651294444506e-14,1.0005245214103113,4.768132802130978
GBPEUR=X_Close,normalisedZscore5d,Exchange rate of GBP to EUR,0.30194168275205124,6.911778393976656e-15,1.000524521410314,4.465965266090256
BTC-EUR_Close,normalisedZscore5d,Exchange rate of BTC to EUR,-0.19014711282358687,-1.1321016334961764e-15,1.0005245214103136,3.7429738058827726
